,iteration,fitness,im_size
0,0,6306.4844,128
1,1,4964.2466,128
2,4,3501.7117,128
3,9,3382.8933,128
4,49,3304.9014,128
5,99,3284.873,128
6,149,3273.1033,128
7,199,3281.0955,128
8,249,3359.6975,128
9,299,3435.9973,128
10,349,3548.1523,128
11,399,3621.1133,128
12,449,3679.3535,128
13,499,3757.8252,128
14,549,3659.4324,128
15,599,3649.415,128
16,649,3639.794,128
17,699,3628.288,128
18,749,3612.7048,128
19,799,3583.5686,128
20,849,3548.6426,128
21,899,3513.0447,128
22,949,3476.3684,128
23,999,3435.7927,128
24,1049,3404.49,128
25,1099,3370.7,128
26,1149,3339.7168,128
27,1199,3308.911,128
28,1249,3281.3594,128
29,1299,3254.3848,128
30,1349,3231.4104,128
31,1399,3208.993,128
32,1449,3188.3752,128
33,1499,3166.0442,128
34,1549,3144.7952,128
35,1599,3123.1729,128
36,1649,3102.8975,128
37,1699,3080.946,128
38,1749,3059.6165,128
39,1799,3039.4492,128
40,1849,3019.3428,128
41,1899,2999.202,128
42,1949,2978.4988,128
43,1999,2958.2415,128
44,2049,2937.2754,128
45,2099,2917.4092,128
46,2149,2897.2314,128
47,2199,2877.121,128
48,2249,2857.1318,128
49,2299,2838.3389,128
50,2349,2818.921,128
51,2399,2801.015,128
52,2449,2781.3809,128
53,2499,2762.0217,128
54,2549,2742.14,128
55,2599,2722.4692,128
56,2649,2703.1313,128
57,2699,2685.4453,128
58,2749,2666.5027,128
59,2799,2647.879,128
60,2849,2628.818,128
61,2899,2610.552,128
62,2949,2592.4185,128
63,2999,2572.6306,128
64,3049,2553.8274,128
65,3099,2535.88,128
66,3149,2517.9563,128
67,3199,2500.1414,128
68,3249,2481.1396,128
69,3299,2462.8982,128
70,3349,2446.1062,128
71,3399,2428.848,128
72,3449,2411.9133,128
73,3499,2394.3232,128
74,3549,2377.3518,128
75,3599,2360.2708,128
76,3649,2343.3503,128
77,3699,2326.4746,128
78,3749,2309.8096,128
79,3799,2292.7864,128
80,3849,2276.767,128
81,3899,2260.2302,128
82,3949,2243.0742,128
83,3999,2226.9255,128
84,4049,2210.8542,128
85,4099,2194.3079,128
86,4149,2178.0632,128
87,4199,2160.9277,128
88,4249,2144.5508,128
89,4299,2129.2815,128
90,4349,2113.7537,128
91,4399,2098.2534,128
92,4449,2083.7058,128
93,4499,2068.6313,128
94,4549,2053.5728,128
95,4599,2038.5453,128
96,4649,2024.1261,128
97,4699,2009.4393,128
98,4749,1995.2003,128
99,4799,1980.8442,128
100,4849,1966.0182,128
101,4899,1950.7646,128
102,4949,1936.5109,128
103,4999,1922.0199,128
104,5049,1908.2042,128
105,5099,1894.1053,128
106,5149,1879.668,128
107,5199,1864.9307,128
108,5249,1851.915,128
109,5299,1837.7198,128
110,5349,1824.451,128
111,5399,1810.7847,128
112,5449,1796.918,128
