,iteration,fitness,im_size
0,0,7119.7524,64
1,1,5887.769,64
2,4,4656.2954,64
3,9,4551.237,64
4,49,4530.176,64
5,99,4505.3022,64
6,149,4484.9253,64
7,199,4469.044,64
8,249,4417.7515,64
9,299,4394.2075,64
10,349,4346.5996,64
11,399,4309.318,64
12,449,4247.2974,64
13,499,4153.3965,64
14,549,4047.834,64
15,599,3920.4036,64
16,649,3795.9368,64
17,699,3660.152,64
18,749,3544.741,64
19,799,3436.1267,64
20,849,3325.2734,64
21,899,3225.491,64
22,949,3140.4258,64
23,999,3050.1472,64
24,1049,2968.7607,64
25,1099,2890.838,64
26,1149,2821.3635,64
27,1199,2760.9033,64
28,1249,2705.6084,64
29,1299,2654.493,64
30,1349,2607.2488,64
31,1399,2556.2517,64
32,1449,2509.3796,64
33,1499,2460.8787,64
34,1549,2413.0935,64
35,1599,2367.5918,64
36,1649,2321.8994,64
37,1699,2278.5671,64
38,1749,2233.4573,64
39,1799,2191.5435,64
40,1849,2148.126,64
41,1899,2104.3547,64
42,1949,2062.1172,64
43,1999,2021.1461,64
44,2049,1980.3881,64
45,2099,1941.1044,64
46,2149,1903.3604,64
47,2199,1863.2373,64
48,2249,1825.707,64
49,2299,1786.6676,64
50,2349,1751.2998,64
51,2399,1712.8896,64
52,2449,1677.7194,64
53,2499,1642.6426,64
54,2549,1606.8439,64
55,2599,1571.2252,64
56,2649,1539.165,64
57,2699,1507.1984,64
58,2749,1471.6729,64
59,2799,1441.5234,64
60,2849,1409.0879,64
61,2899,1380.4733,64
62,2949,1349.4606,64
63,2999,1320.0321,64
64,3049,1290.7692,64
65,3099,1260.0375,64
66,3149,1232.5221,64
67,3199,1203.7,64
68,3249,1177.4235,64
69,3299,1150.6366,64
70,3349,1124.6272,64
71,3399,1097.8765,64
72,3449,1072.8059,64
73,3499,1049.1078,64
74,3549,1025.1473,64
75,3599,1000.753,64
76,3649,977.8138,64
77,3699,953.79315,64
78,3749,930.2601,64
79,3799,908.5275,64
80,3849,887.48016,64
81,3899,864.7237,64
82,3949,844.4028,64
83,3999,824.64215,64
84,4049,803.1656,64
85,4099,783.8418,64
86,4149,764.88403,64
87,4199,746.02203,64
88,4249,728.20557,64
89,4299,709.5288,64
90,4349,691.9597,64
91,4399,673.94775,64
92,4449,657.06647,64
93,4499,639.90356,64
94,4549,624.164,64
95,4599,608.5175,64
96,4649,593.08154,64
97,4699,577.86884,64
98,4749,562.4685,64
99,4799,547.73175,64
100,4849,534.3941,64
101,4899,521.0535,64
102,4949,506.2661,64
103,4999,492.98666,64
104,5049,480.00684,64
105,5099,467.3165,64
106,5149,456.5476,64
107,5199,445.57852,64
108,5249,434.65787,64
109,5299,422.63306,64
110,5349,412.1522,64
111,5399,402.41553,64
112,5449,392.28207,64
113,5499,382.80777,64
114,5549,373.30453,64
115,5599,363.7084,64
116,5649,354.08414,64
117,5699,345.12964,64
118,5749,336.7018,64
119,5799,327.29745,64
120,5849,319.14502,64
121,5899,311.33188,64
122,5949,303.70596,64
123,5999,295.99072,64
124,6049,288.87607,64
125,6099,281.73502,64
126,6149,274.47006,64
127,6199,267.7412,64
128,6249,261.1957,64
129,6299,254.45898,64
130,6349,247.81941,64
131,6399,241.62483,64
132,6449,235.27393,64
133,6499,229.63647,64
134,6549,224.19368,64
135,6599,219.05794,64
136,6649,213.9209,64
137,6699,208.7159,64
138,6749,203.71931,64
139,6799,199.21696,64
140,6849,194.41821,64
141,6899,190.02336,64
142,6949,185.17114,64
143,6999,181.28938,64
144,7049,177.64128,64
145,7099,173.44499,64
146,7149,169.80583,64
147,7199,165.94695,64
148,7249,162.15088,64
